WKT,name,description
"POLYGON ((-116.184172 43.6078432, -116.1812108 43.6121934, -116.1984628 43.6243412, -116.20618 43.6232292, -116.2229953 43.6247254, -116.2301193 43.6160886, -116.2126099 43.6058347, -116.1901222 43.6003653, -116.184172 43.6078432))",Priority 1
,
"POLYGON ((-116.2192711 43.6293036, -116.2481103 43.6501122, -116.2554059 43.6467584, -116.2385831 43.6276883, -116.2342915 43.6193627, -116.2140539 43.6029899, -116.2116164 43.5944479, -116.2032479 43.5821386, -116.1946648 43.5744285, -116.179387 43.5655979, -116.1526078 43.5762318, -116.1814109 43.6001883, -116.1812108 43.6121934, -116.1901222 43.6003653, -116.2126099 43.6058347, -116.2301193 43.6160886, -116.2229953 43.6247254, -116.20618 43.6232292, -116.1984628 43.6243412, -116.2192711 43.6293036))",Priority 2
,
"POLYGON ((-116.179387 43.5655979, -116.1569852 43.5414724, -116.1013765 43.5447464, -116.0962988 43.5520444, -116.1285711 43.5780407, -116.13827 43.5804035, -116.1526078 43.5762318, -116.179387 43.5655979))",Priority 3,
